id,cardHolder,cardNumber,amount,timeOfTransaction,suspiciousActivity
1,John Doe,1234567812345670,458.75,2024-08-01T08:32:15,false
2,Jane Smith,2345678923456781,1025.00,2024-08-01T09:15:23,false
3,Emily Johnson,3456789034567892,234.99,2024-08-01T10:45:42,false
4,Michael Brown,4567890145678903,120.50,2024-08-01T11:23:01,false
5,Linda White,5678901256789014,4567.25,2024-08-01T12:12:45,false
6,David Green,6789012367890125,67.45,2024-08-01T13:08:30,false
7,Susan Miller,7890123478901236,980.00,2024-08-01T14:21:50,false
8,Robert Davis,8901234589012347,512.20,2024-08-01T15:35:10,false
9,Mary Wilson,9012345690123458,799.50,2024-08-01T16:00:00,false
10,James Moore,0123456701234569,3420.00,2024-08-01T17:45:00,false
11,Patricia Taylor,1234567812345670,730.00,2024-08-01T18:05:00,false
12,Michael Anderson,2345678923456781,15000.01,2024-08-01T18:20:00,false
13,Linda Thomas,3456789034567892,222.50,2024-08-01T18:45:00,false
14,David Jackson,4567890145678903,3840.50,2024-08-01T19:00:00,false
15,Susan Harris,5678901256789014,145.75,2024-08-01T19:15:00,false
16,Robert Martin,6789012367890125,489.99,2024-08-01T19:30:00,false
17,Mary Thompson,7890123478901236,910.25,2024-08-01T19:45:00,false
18,James Garcia,8901234589012347,610.00,2024-08-01T20:00:00,false
19,Patricia Martinez,9012345690123458,896.45,2024-08-01T20:15:00,false
20,Michael Robinson,0123456701234569,255.00,2024-08-01T20:30:00,false
21,Linda Clark,1234567812345670,53.25,2024-08-01T20:45:00,false
22,David Rodriguez,2345678923456781,75.00,2024-08-01T21:00:00,false
23,Susan Lewis,3456789034567892,965.00,2024-08-01T21:15:00,false
24,Robert Lee,4567890145678903,190.00,2024-08-01T21:30:00,false
25,Mary Walker,5678901256789014,340.00,2024-08-01T21:45:00,false
26,James Hall,6789012367890125,452.00,2024-08-01T22:00:00,false
27,Patricia Allen,7890123478901236,1780.00,2024-08-01T22:15:00,false
28,Michael Young,8901234589012347,270.00,2024-08-01T22:30:00,false
29,Linda Hernandez,9012345690123458,350.00,2024-08-01T22:45:00,false
30,David King,0123456701234569,85.00,2024-08-01T23:00:00,false
31,Susan Wright,1234567812345670,980.00,2024-08-01T23:15:00,false
32,Robert Lopez,2345678923456781,640.00,2024-08-01T23:30:00,false
33,Mary Hill,3456789034567892,125.00,2024-08-01T23:45:00,false
34,James Scott,4567890145678903,25000.00,2024-08-02T00:00:00,false
35,Patricia Green,5678901256789014,265.00,2024-08-02T00:15:00,false
36,Michael Adams,6789012367890125,290.00,2024-08-02T00:30:00,false
37,Linda Baker,7890123478901236,370.00,2024-08-02T00:45:00,false
38,David Gonzalez,8901234589012347,450.00,2024-08-02T01:00:00,false
39,Susan Nelson,9012345690123458,510.00,2024-08-02T01:15:00,false
40,Robert Carter,0123456701234569,275.00,2024-08-02T01:30:00,false
41,Mary Mitchell,1234567812345670,95.00,2024-08-02T01:45:00,false
42,James Perez,2345678923456781,360.00,2024-08-02T02:00:00,false
43,Patricia Roberts,3456789034567892,550.00,2024-08-02T02:15:00,false
44,Michael Turner,4567890145678903,615.00,2024-08-02T02:30:00,false
45,Linda Phillips,5678901256789014,420.00,2024-08-02T02:45:00,false
46,David Campbell,6789012367890125,3125.00,2024-08-02T03:00:00,false
47,Susan Parker,7890123478901236,535.00,2024-08-02T03:15:00,false
48,Robert Evans,8901234589012347,295.00,2024-08-02T03:30:00,false
49,Mary Edwards,9012345690123458,3055.00,2024-08-02T03:45:00,false
50,James Collins,0123456701234569,425.00,2024-08-02T04:00:00,false
51,Patricia Stewart,1234567812345670,95.00,2024-08-02T04:15:00,false
52,Michael Sanchez,2345678923456781,555.00,2024-08-02T04:30:00,false
53,Linda Morris,3456789034567892,125.00,2024-08-02T04:45:00,false
54,David Rogers,4567890145678903,10085.00,2024-08-02T05:00:00,false
55,Susan Reed,5678901256789014,745.00,2024-08-02T05:15:00,false
56,Robert Cook,6789012367890125,9010.00,2024-08-02T05:30:00,false
57,Mary Morgan,7890123478901236,875.00,2024-08-02T05:45:00,false
58,James Bell,8901234589012347,235.00,2024-08-02T06:00:00,false
59,Patricia Murphy,9012345690123458,995.00,2024-08-02T06:15:00,false
60,Michael Bailey,0123456701234569,10055.00,2024-08-02T06:30:00,false
61,Linda Rivera,1234567812345670,55.00,2024-08-02T06:45:00,false
62,David Cooper,2345678923456781,475.00,2024-08-02T07:00:00,false
63,Susan Richardson,3456789034567892,1235.00,2024-08-02T07:15:00,false
64,Robert Cox,4567890145678903,295.00,2024-08-02T07:30:00,false
65,Mary Howard,5678901256789014,10355.00,2024-08-02T07:45:00,false
66,James Ward,6789012367890125,1415.00,2024-08-02T08:00:00,false
67,Patricia Torres,7890123478901236,1475.00,2024-08-02T08:15:00,false
68,Michael Peterson,8901234589012347,1535.00,2024-08-02T08:30:00,false
69,Linda Gray,9012345690123458,1595.00,2024-08-02T08:45:00,false
70,David James,0123456701234569,1655.00,2024-08-02T09:00:00,false
71,Susan Bennett,1234567812345670,1715.00,2024-08-02T09:15:00,false
72,Robert Wood,2345678923456781,1775.00,2024-08-02T09:30:00,false
73,Mary Adams,3456789034567892,1835.00,2024-08-02T09:45:00,false
